3	3.035
35	1.063
67	0.737
99	0.624
131	0.560
163	0.532
195	0.507
227	0.490
259	0.479
291	0.474
323	0.466
355	0.459
387	0.453
419	0.457
451	0.452
483	0.447
515	0.446
547	0.450
579	0.448
611	0.445
643	0.442
675	0.449
707	0.447
739	0.445
771	0.444
803	0.451
835	0.453
867	0.446
899	0.450
931	0.450
963	0.448
995	0.455
